"pop","ID","long_stamen_length","short_stamen_length","pistil_length","nectary_area_1","nectary_area_2","floral_tube_length","crease_to_top_height","crease_to_bottom_height","tube_height_at_base","tube_height_at_inflection","mouth_angle","platform_angle","upper_petal_angle","tube_width_at_mouth","tube_width_at_base","lower_petal_angle","tube_height_at_mouth","mouth_constriction_angle","stamen_length_ratio","longstamen_pistil_ratio","longstamen_tube_ratio","pistil_tube_ratio","floral_crease_ratio","mouth_height_width_ratio","throat_inflation_ratio"
129,"129-064A",25.55,22.033,25.718,1.336,1.255,20.243,3.949,1.607,1.838,2.763,85.102,58.824,137.191,5.925,2.913,137.708,5.556,-26.278,1.15962420006354,0.993467610234077,1.26216469890826,1.27046386405177,2.457373988799,0.937721518987342,1.50326441784548
129,"129-064B",25.654,22.068,26.326,1.343,1.37,20.386,3.354,1.518,1.869,2.933,70.053,50.046,141.711,6.484,2.788,148.237,4.872,-20.007,1.16249773427587,0.974473904125199,1.25841263612283,1.2913764348082,2.20948616600791,0.751388032078964,1.56928838951311
129,"129-080A",NA,NA,NA,NA,NA,20.941,2.569,2.125,1.529,1.817,64.671,64.671,154.269,5.945,2.971,141.06,4.694,0,NA,NA,NA,NA,1.20894117647059,0.789571068124474,1.18835840418574
129,"129-080B",26.228,22.291,26.035,1.099,1.163,20.373,3.969,1.565,1.847,2.602,78.872,61.301,129.673,5.822,2.981,151.456,5.534,-17.57,1.17661836615674,1.00741309775302,1.28739017326854,1.27791685073381,2.53610223642173,0.95053246307111,1.40877097996751
129,"129-065A",22.833,19.836,23.741,1.208,1.426,17.91,2.73,1.479,1.503,2.999,59.705,59.705,151.46,5.182,2.823,148.834,4.209,0,1.1510889292196,0.961753927804221,1.2748743718593,1.32557230597432,1.84584178498986,0.812234658433037,1.99534264803726
129,"129-065B",21.391,19.006,21.809,1.355,NA,17.374,2.442,1.332,1.759,2.661,44.601,44.601,149.435,5.086,2.268,165.964,3.773,0,1.12548668841418,0.980833600807006,1.23120755151376,1.25526649015771,1.83333333333333,0.741840346047975,1.51279135872655
129,"129-053A",27.638,23.78,27.593,2.055,1.886,20.501,3.466,1.897,1.841,2.763,46.989,46.989,158.348,5.177,2.61,154.663,5.363,0,1.16223717409588,1.00163084840358,1.34812935954344,1.34593434466611,1.82709541381128,1.03592814371257,1.50081477457903
129,"129-053B",26.012,22.65,26.92,1.611,1.322,20.432,3.41,1.558,2.037,2.56,33.355,33.355,157.976,5.553,2.583,168.669,4.968,0,1.14843267108168,0.966270430906389,1.27310101801096,1.31754111198121,2.18870346598203,0.894651539708266,1.2567501227295
129,"129-074A",28.557,25.43,28.378,1.925,1.344,21.823,3.995,1.718,1.957,3.939,48.9,34.513,148.222,6.265,2.538,162.878,5.712,-14.387,1.12296500196618,1.00630770315033,1.30857352334693,1.30037116803373,2.32537834691502,0.911731843575419,2.01277465508431
129,"129-074B",27.58,24.899,27.916,1.312,1.146,21.717,2.951,1.575,1.645,3.726,62.273,38.716,149.327,6.51,2.665,148.4,4.526,-23.558,1.10767500702839,0.987963891675025,1.26997283234333,1.28544458258507,1.87365079365079,0.695238095238095,2.26504559270517
129,"129-069A",26.151,22.766,27.746,1.343,1.308,18.763,3.221,1.483,1.78,3.408,38.925,38.925,157.697,5.663,3.123,163.378,4.705,0,1.1486866379689,0.942514236286312,1.39375366412621,1.47876139210148,2.17194875252866,0.830831714638884,1.91460674157303
129,"129-069B",26.566,22.773,26.353,1.451,1.439,18.962,2.481,2.298,1.77,3.446,46.934,46.934,150.611,5.652,2.949,162.455,4.779,0,1.16655688754226,1.00808257124426,1.40101255141863,1.38977955911824,1.07963446475196,0.845541401273885,1.94689265536723
129,"129-068A",25.719,22.598,26.625,1.87,1.81,20.131,3.276,1.867,1.958,2.72,46.518,46.518,150.95,6.358,3.218,162.532,5.143,0,1.13810956721834,0.965971830985916,1.27758183895485,1.32258705479112,1.75468666309588,0.808902170493866,1.38917262512768
129,"129-068B",26.193,22.246,25.145,1.689,1.66,20.502,3.693,1.795,1.907,3.072,90.86,62.134,145.838,6.221,2.911,123.301,5.489,-28.726,1.17742515508406,1.04167826605687,1.27758267486099,1.22646571066237,2.05738161559889,0.88233402989873,1.61090718405873
129,"129-073A",25.595,22.264,28.289,1.562,1.252,18.55,2.914,1.65,1.724,3.223,45.15,45.15,146.16,6.707,2.789,168.69,4.564,0,1.14961372619475,0.904768637986496,1.37978436657682,1.52501347708895,1.76606060606061,0.68048307738184,1.86948955916473
129,"129-073B",25.651,22.515,27.397,1.033,1.377,18.074,2.151,1.959,1.907,2.942,54.646,54.646,150.115,6.468,2.888,155.239,4.11,0,1.13928492116367,0.936270394568748,1.41922098041385,1.51582383534359,1.09800918836141,0.63543599257885,1.54273728369166
129,"129-052A",25.574,23.967,28.551,2.257,NA,17.694,3.386,1.99,1.853,3.73,39.392,39.392,143.649,5.483,3.469,176.959,5.376,0,1.06705052780907,0.895730447269798,1.44534870577597,1.6135978297728,1.70150753768844,0.980485135874521,2.01295196977874
129,"129-052B",24.92,23.553,28.636,2.419,1.998,18.36,2.783,2.176,1.82,3.554,38.913,38.913,145.326,5.787,3.695,175.761,4.959,0,1.05803931558612,0.870233272803464,1.35729847494553,1.55969498910675,1.27895220588235,0.856920684292379,1.95274725274725
129,"129-054A",25.692,23.211,25.969,1.657,1.49,19.311,3.383,1.592,1.643,3.219,73.453,46.735,146.461,5.05,2.453,140.086,4.975,-26.718,1.10688897505493,0.98933343601987,1.33043343172285,1.34477758790327,2.125,0.985148514851485,1.9592209373098
129,"129-054B",26.317,23.332,26.998,2.023,1.634,19.227,3.635,1.581,1.972,3.248,45.14,45.14,149.731,5.023,2.949,165.129,5.216,0,1.1279358820504,0.974775909326617,1.36875227544599,1.40417121755864,2.29917773561037,1.03842325303603,1.64705882352941
129,"129-056A",25.935,22.985,26.971,2.251,1.663,19.148,3.698,1.556,1.935,3.045,43.286,43.286,142.309,6.116,3.637,174.405,5.254,0,1.12834457254731,0.9615883726966,1.35444955086693,1.408554418216,2.37660668380463,0.859058207979071,1.57364341085271
129,"129-060A",27.241,24.722,28.285,0.95,0.982,20.223,3.297,1.293,1.407,3.561,25.691,25.691,156.584,4.923,2.884,177.725,4.59,0,1.10189305072405,0.963089977019622,1.34703060871285,1.39865499678584,2.54988399071926,0.93235831809872,2.53091684434968
129,"129-060B",26.836,24.758,27.722,1.407,0.964,20.684,3.239,1.299,1.422,3.734,37.862,37.862,141.991,5.017,2.592,180.148,4.538,0,1.08393246627353,0.968039823966525,1.2974279636434,1.34026300522143,2.49345650500385,0.904524616304564,2.62587904360056
129,"129-076A",21.077,17.621,24.104,1.034,0.897,16.744,3.147,1.365,1.989,2.909,65.87,53.37,144.264,4.815,2.742,149.867,4.512,-12.5,1.19612961806935,0.874419183538002,1.25877926421405,1.43956043956044,2.30549450549451,0.937071651090343,1.46254399195576
129,"129-076B",21.867,18.153,24.407,1.345,1.282,17.029,2.525,1.721,1.946,2.993,52.855,52.855,152.927,4.981,2.983,154.219,4.246,0,1.20459428193687,0.895931495062892,1.28410358799695,1.43326090786306,1.46717024985474,0.852439269223048,1.53802672147996
