pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
132	132-015A	21.934	19.371	21.273	1.201	NA
132	132-015B	19.155	17.282	19.462	0.769	NA
132	132-035A	26.643	22.945	32.957	1.197	1.118
132	132-035B	26.564	23.147	32.781	1.329	0.931
132	132-044A	25.035	22.163	24.800	1.088	0.962
132	132-044B	24.623	22.201	26.058	1.015	0.943
132	132-025A	21.914	20.077	27.081	0.999	0.819
132	132-025B	21.405	18.423	24.113	1.043	0.914
132	132-003A	27.459	25.138	23.291	1.465	1.120
132	132-003B	28.132	25.461	23.652	1.379	1.382
132	132-005A	24.433	21.720	25.535	1.431	1.589
132	132-005B	24.824	22.265	26.568	1.554	1.800
132	132-009A	27.619	24.441	25.581	1.518	1.276
132	132-009B	27.228	24.314	25.087	1.348	1.308
132	132-030A	27.899	23.051	28.953	1.191	1.361
132	132-030B	26.767	23.200	29.926	1.303	1.120
132	132-040A	26.227	23.030	31.077	1.636	1.598
132	132-040B	27.292	23.708	33.416	1.773	1.670
132	132-023A	24.994	20.670	29.684	0.874	0.911
132	132-023B	24.484	20.708	28.703	0.888	NA
132	132-016A	26.854	22.290	29.671	1.049	1.270
132	132-016B	26.339	21.011	28.364	1.101	1.135
132	132-022A	26.411	22.557	26.395	1.266	1.078
132	132-022B	25.032	19.143	26.338	1.176	NA
132	132-141A	23.570	22.249	NA	1.513	NA
132	132-141B	NA	23.894	22.823	1.260	1.213
132	132-137A	25.462	23.500	26.257	1.265	1.568
132	132-137B	25.060	21.510	23.958	1.664	1.493
132	132-099A	29.215	24.519	29.468	1.646	1.772
132	132-099B	29.470	25.568	31.003	2.064	2.128
132	132-120A	24.892	20.931	27.891	0.794	0.546
132	132-120B	26.421	23.366	29.289	0.845	0.837
132	132-134A	26.207	22.535	28.057	1.579	1.509
132	132-134B	26.317	22.958	28.959	1.800	1.803
132	132-139A	28.226	24.310	30.086	1.281	1.106
132	132-139B	27.749	24.853	28.803	1.251	1.198
132	132-135A	24.712	20.921	22.205	1.607	1.585
132	132-135B	28.318	25.484	30.573	2.181	1.801
132	132-126A	27.884	23.119	30.740	1.352	1.806
132	132-126B	27.713	23.188	30.269	1.353	1.304
132	132-085A	27.067	23.190	25.570	1.254	1.056
132	132-085B	26.380	23.122	25.101	1.392	1.379
132	132-087A	26.405	23.827	28.681	2.137	1.831
132	132-087B	24.084	22.304	26.819	1.702	1.581
132	132-128A	23.878	21.525	19.902	1.019	1.171
132	132-128B	25.984	22.553	22.376	1.224	1.234
132	132-127A	29.223	24.952	30.193	1.671	1.714
132	132-127B	28.352	24.623	30.125	1.453	1.436
132	132-097A	29.769	24.359	28.991	1.675	1.663
132	132-097B	28.461	23.964	29.557	1.450	1.402
132	132-110A	31.674	31.314	34.775	1.213	NA
132	132-110B	32.377	28.946	36.042	1.086	1.103
132	132-115A	27.586	23.343	32.449	1.114	1.072
132	132-115B	29.971	25.941	37.027	1.392	1.278
132	132-112A	28.982	24.818	29.847	1.145	1.048
132	132-112B	28.340	24.926	29.222	1.110	1.204
132	132-093A	30.282	25.976	33.008	1.334	1.052
132	132-093B	30.444	26.052	32.712	1.408	1.139
132	132-086A	25.285	23.094	25.561	1.318	0.965
132	132-086B	23.451	20.698	25.650	0.983	NA
132	132-094A	27.299	22.890	29.364	1.460	NA
132	132-094B	27.669	22.389	30.749	1.247	1.245
132	132-138A	25.732	22.078	28.765	1.448	1.330
132	132-138B	24.018	20.997	28.167	1.284	NA
132	132-131A	26.252	22.690	28.786	1.385	1.230
132	132-131B	26.315	21.697	28.460	1.559	1.408
132	132-088A	24.198	21.066	26.670	1.020	1.106
132	132-088B	24.281	21.996	25.575	1.026	1.123
132	132-082A	24.937	21.249	21.173	1.523	1.203
132	132-082B	24.304	20.759	23.008	1.302	NA
132	132-114A	26.624	22.529	27.641	1.477	NA
132	132-114B	24.988	22.777	27.439	1.558	1.447
132	132-106A	31.808	25.347	29.934	1.385	1.234
132	132-102A	29.890	26.307	32.006	1.717	1.427
132	132-102B	29.625	24.794	32.142	1.868	2.032
132	132-107A	27.927	24.566	30.987	0.969	0.957
132	132-107B	30.102	27.088	NA	1.154	1.247
132	132-119A	26.690	24.375	24.624	1.920	1.931
132	132-119B	26.504	23.561	25.597	1.361	1.459
132	132-109A	30.240	25.238	34.003	1.023	1.227
132	132-109B	28.809	24.265	32.685	1.528	1.381
132	132-121A	32.331	29.382	34.407	2.012	NA
132	132-121B	32.927	29.274	33.926	1.603	1.969
132	132-100A	26.311	24.669	30.334	1.598	1.304
132	132-100B	25.593	23.633	29.197	1.117	1.030
132	132-136A	25.229	20.599	25.862	0.941	0.832
132	132-136B	26.007	22.040	26.412	0.973	1.208
132	132-116A	24.452	21.885	26.468	1.312	1.096
132	132-116B	25.191	22.924	29.088	1.137	1.255
132	132-090A	25.231	21.602	24.675	2.161	2.032
132	132-090B	25.264	21.044	26.091	1.563	1.798
132	132-143A	25.606	22.746	28.479	1.261	1.308
132	132-143B	26.484	23.481	28.166	1.301	1.339
132	132-124A	29.508	NA	29.311	1.863	NA
132	132-124B	29.215	26.566	27.223	1.431	1.531
132	132-105A	26.793	NA	33.644	NA	NA
132	132-105B	27.398	22.308	32.383	1.463	NA
